句子长度	句子个数	所占比例
10	1709	0.0553647790592199
7	1708	0.05533238305040819
6	1633	0.05290268238952961
8	1630	0.052805494363094466
9	1540	0.04988985357004017
11	1529	0.04953349747311131
12	1463	0.04739536089153816
2	1457	0.04720098483866788
5	1441	0.04668264869768045
13	1324	0.04289231566670986
4	1295	0.04195283141117014
3	1245	0.040333030970584424
14	1171	0.037935726318517556
15	1024	0.033173513023195544
16	908	0.029415576001036673
17	770	0.024944926785020086
18	748	0.024232214591162368
19	595	0.019275625242970065
1	558	0.018076972916936634
20	534	0.017299468705455488
21	476	0.015420500194376054
22	453	0.014675391991706623
23	408	0.013217571595179474
24	361	0.011694959181028898
26	320	0.010366722819748608
25	319	0.010334326810936892
27	256	0.008293378255798886
28	246	0.007969418167681742
29	202	0.006543993779966308
31	199	0.006446805753531165
32	196	0.0063496177270960215
33	193	0.006252429700660879
30	186	0.006025657638978878
34	162	0.005248153427497732
0	158	0.005118569392250875
35	155	0.005021381365815731
38	121	0.003919917066217442
37	120	0.0038875210574057274
36	115	0.0037255410133471556
39	114	0.003693145004535441
40	103	0.003336788907606583
43	88	0.002850848775430867
44	85	0.0027536607489957237
41	83	0.002688868731372295
42	78	0.002526888687313723
45	72	0.0023325126344434367
46	69	0.0022353246080082934
47	64	0.0020733445639497215
53	60	0.0019437605287028637
48	57	0.0018465725022677206
49	51	0.0016521964493974343
52	45	0.0014578203965271478
54	44	0.0014254243877154335
50	43	0.001393028378903719
56	41	0.0013282363612802902
51	41	0.0013282363612802902
55	38	0.001231048334845147
58	33	0.001069068290786575
59	31	0.0010042762731631463
61	29	0.0009394842555397175
64	28	0.0009070882467280031
60	27	0.0008746922379162887
66	27	0.0008746922379162887
68	26	0.0008422962291045744
62	25	0.0008099002202928599
57	24	0.0007775042114811456
63	21	0.0006803161850460023
72	21	0.0006803161850460023
70	20	0.000647920176234288
73	18	0.0005831281586108592
65	17	0.0005507321497991447
67	17	0.0005507321497991447
71	16	0.0005183361409874304
75	15	0.00048594013217571593
74	14	0.00045354412336400153
80	14	0.00045354412336400153
77	13	0.0004211481145522872
69	13	0.0004211481145522872
76	12	0.0003887521057405728
85	11	0.0003563560969288584
79	11	0.0003563560969288584
78	11	0.0003563560969288584
86	11	0.0003563560969288584
84	10	0.000323960088117144
91	9	0.0002915640793054296
88	9	0.0002915640793054296
100	8	0.0002591680704937152
81	8	0.0002591680704937152
97	8	0.0002591680704937152
110	8	0.0002591680704937152
92	8	0.0002591680704937152
103	7	0.00022677206168200076
83	7	0.00022677206168200076
95	6	0.0001943760528702864
90	6	0.0001943760528702864
82	6	0.0001943760528702864
93	6	0.0001943760528702864
87	6	0.0001943760528702864
105	5	0.000161980044058572
98	4	0.0001295840352468576
112	4	0.0001295840352468576
94	4	0.0001295840352468576
89	4	0.0001295840352468576
101	4	0.0001295840352468576
113	3	9.71880264351432e-05
99	3	9.71880264351432e-05
123	3	9.71880264351432e-05
144	3	9.71880264351432e-05
104	3	9.71880264351432e-05
106	3	9.71880264351432e-05
135	3	9.71880264351432e-05
107	3	9.71880264351432e-05
121	3	9.71880264351432e-05
170	3	9.71880264351432e-05
233	2	6.47920176234288e-05
145	2	6.47920176234288e-05
138	2	6.47920176234288e-05
142	2	6.47920176234288e-05
156	2	6.47920176234288e-05
157	2	6.47920176234288e-05
150	2	6.47920176234288e-05
102	2	6.47920176234288e-05
108	2	6.47920176234288e-05
118	2	6.47920176234288e-05
151	2	6.47920176234288e-05
141	2	6.47920176234288e-05
129	2	6.47920176234288e-05
155	2	6.47920176234288e-05
126	2	6.47920176234288e-05
125	2	6.47920176234288e-05
166	1	3.23960088117144e-05
195	1	3.23960088117144e-05
171	1	3.23960088117144e-05
319	1	3.23960088117144e-05
281	1	3.23960088117144e-05
160	1	3.23960088117144e-05
490	1	3.23960088117144e-05
96	1	3.23960088117144e-05
149	1	3.23960088117144e-05
174	1	3.23960088117144e-05
159	1	3.23960088117144e-05
117	1	3.23960088117144e-05
213	1	3.23960088117144e-05
349	1	3.23960088117144e-05
200	1	3.23960088117144e-05
192	1	3.23960088117144e-05
158	1	3.23960088117144e-05
119	1	3.23960088117144e-05
137	1	3.23960088117144e-05
291	1	3.23960088117144e-05
397	1	3.23960088117144e-05
229	1	3.23960088117144e-05
245	1	3.23960088117144e-05
172	1	3.23960088117144e-05
146	1	3.23960088117144e-05
215	1	3.23960088117144e-05
181	1	3.23960088117144e-05
180	1	3.23960088117144e-05
177	1	3.23960088117144e-05
131	1	3.23960088117144e-05
139	1	3.23960088117144e-05
154	1	3.23960088117144e-05
274	1	3.23960088117144e-05
140	1	3.23960088117144e-05
362	1	3.23960088117144e-05
648	1	3.23960088117144e-05
190	1	3.23960088117144e-05
111	1	3.23960088117144e-05
434	1	3.23960088117144e-05
124	1	3.23960088117144e-05
147	1	3.23960088117144e-05
203	1	3.23960088117144e-05
216	1	3.23960088117144e-05
116	1	3.23960088117144e-05
148	1	3.23960088117144e-05
114	1	3.23960088117144e-05
120	1	3.23960088117144e-05
373	1	3.23960088117144e-05
380	1	3.23960088117144e-05
225	1	3.23960088117144e-05
183	1	3.23960088117144e-05
132	1	3.23960088117144e-05
109	1	3.23960088117144e-05
262	1	3.23960088117144e-05
115	1	3.23960088117144e-05
286	1	3.23960088117144e-05
169	1	3.23960088117144e-05
198	1	3.23960088117144e-05
136	1	3.23960088117144e-05
134	1	3.23960088117144e-05
